"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"4414","HighTide","1","356.9","1996","2334","75.1","195.9","86","0.81","1.08","-0.34","2026cmptx","FIRST Championship - FIRST Robotics Competition","8","70-2-0","0.972"
"254","The Cheesy Poofs","2","328.1","1950","2257","78.5","169.9","79.8","0.71","0.86","-0.34","2026cmptx","FIRST Championship - FIRST Robotics Competition","8","65-6-0","0.915"
"7769","The CREW","3","311.6","1923","2213","67.8","175.4","68.5","0.8","0.78","-0.34","2026cmptx","FIRST Championship - FIRST Robotics Competition","8","70-5-0","0.933"
"1323","MadTown Robotics","4","310","1921","2209","73.8","169.6","66.6","0.82","1.06","-0.34","2026cmptx","FIRST Championship - FIRST Robotics Competition","8","69-4-0","0.945"
"2056","OP Robotics","5","302.2","1908","2188","83.9","169","49.3","0.8","0.93","-0.34","2026cmptx","FIRST Championship - FIRST Robotics Competition","8","63-10-0","0.863"
"1690","Orbit","6","295.4","1897","2170","67.5","165.9","62.1","0.62","0.42","-0.34","2026cmptx","FIRST Championship - FIRST Robotics Competition","8","16-4-0","0.800"
"27","Team RUSH","7","295.1","1897","2169","74","154.6","66.6","0.79","0.93","-0.34","2026cmptx","FIRST Championship - FIRST Robotics Competition","8","83-6-0","0.933"
"1114","Simbotics","8","287.6","1884","2149","73.1","140.5","73.9","0.68","0.65","-0.34","2026cmptx","FIRST Championship - FIRST Robotics Competition","8","62-7-0","0.899"
"2481","Roboteers","9","285","1880","2143","62.6","152.8","69.6","0.64","0.81","-0.34","2026cmptx","FIRST Championship - FIRST Robotics Competition","8","44-8-0","0.846"
"5687","The Outliers","10","282.7","1877","2136","74","155.1","53.6","0.85","0.76","-0.34","N/A","N/A","N/A","62-12-1","0.833"
"2910","Jack in the Bot","11","281.8","1875","2134","49","152.6","80.2","0.62","0.58","-0.34","2026cmptx","FIRST Championship - FIRST Robotics Competition","8","53-23-0","0.697"
"125","NUTRONs","12","281.6","1875","2133","54.2","161.2","66.2","0.74","0.71","-0.34","2026cur","Curie Division","8","68-17-1","0.797"
"9470","Ctrl-Alt-Defeat","13","278.9","1871","2126","61.4","148.1","69.4","0.65","0.79","-0.28","2026cmptx","FIRST Championship - FIRST Robotics Competition","8","60-13-0","0.822"
"7558","ALT-F4","14","278.9","1870","2126","54.5","159","65.4","0.76","0.56","-0.34","2026joh","Johnson Division","8","51-17-0","0.750"
"1678","Citrus Circuits","15","278.2","1869","2124","59.6","147.3","71.2","0.83","0.69","-0.34","2026cmptx","FIRST Championship - FIRST Robotics Competition","8","61-9-0","0.871"
"6369","Mercenary Robotics","16","273.8","1862","2112","59","150.1","64.7","0.88","0.64","-0.34","2026cmptx","FIRST Championship - FIRST Robotics Competition","8","77-9-0","0.895"
"6800","Valor","17","267.6","1852","2096","55.9","145","66.7","0.79","0.7","-0.34","2026cmptx","FIRST Championship - FIRST Robotics Competition","8","62-10-0","0.861"
"3467","Windham Windup","18","266.5","1850","2093","48.4","150.9","67.2","0.73","0.79","-0.34","2026hop","Hopper Division","8","75-10-0","0.882"
"9128","ITKAN Robotics","19","264.8","1848","2089","57.8","141.3","65.7","0.73","0.74","-0.34","2026new","Newton Division","8","60-7-0","0.896"
"1796","RoboTigers","20","263.3","1845","2085","54.2","153.3","55.8","0.74","0.61","-0.34","2026new","Newton Division","8","48-7-0","0.873"
"9483","Overcharge","21","261.3","1842","2079","57.3","150.8","53.2","0.75","0.64","-0.34","2026joh","Johnson Division","8","38-6-0","0.864"
"6329","The Bucks' Wrath","22","260","1840","2076","58.7","141.7","59.6","0.55","0.82","-0.34","2026cmptx","FIRST Championship - FIRST Robotics Competition","8","61-15-1","0.799"
"2046","Bear Metal","23","259.9","1840","2075","56.6","136.5","66.8","0.77","0.69","-0.34","2026cmptx","FIRST Championship - FIRST Robotics Competition","8","78-16-0","0.830"
"1987","Broncobots","24","259.1","1839","2073","49.3","161","48.7","0.7","0.67","-0.34","2026cur","Curie Division","8","54-6-0","0.900"
"1768","Nashoba Robotics","25","258.7","1838","2072","42.2","140.6","75.9","0.86","0.61","-0.34","2026gal","Galileo Division","8","70-17-0","0.805"
"8044","Denham Venom","26","256.5","1834","2066","57.3","133.1","66.1","0.65","0.58","-0.34","2026hop","Hopper Division","8","50-9-0","0.847"
"1706","Ratchet Rockers","27","256","1834","2065","47.6","151.2","57.2","0.73","0.26","-0.34","2026cmptx","FIRST Championship - FIRST Robotics Competition","8","45-2-0","0.957"
