scout,match,robot,team,start_pos,no_show,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,died,solo_shooting,problems,card,comments
BP,1,R1,1446,C,TRUE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,0,No Card,NA
HR,1,R2,7886,F,FALSE,NA,FALSE,FALSE,0,8,0,0,0,No,FALSE,"2,4,5",3,FALSE,FALSE,0,No Card,"No auto, Plow broke"
AC,1,R3,11318,M,FALSE,2,FALSE,FALSE,0,4,0,0,0,No,FALSE,2,1,FALSE,FALSE,0,No Card,I think it was trying to bulldoze? Very ineffective
AD,1,B1,1389,M,FALSE,NA,FALSE,FALSE,2,0,0,1,8,No,FALSE,5,3,FALSE,FALSE,0,No Card,NA
BS,1,B2,888,C,FALSE,3,FALSE,FALSE,8,5,1,4,0,No,FALSE,1,4,FALSE,FALSE,0,No Card,Very good passing and scored their full hopper every time
AZ,1,B3,6882,F,FALSE,NA,FALSE,FALSE,1,2,2,1,2,No,FALSE,2,3,FALSE,FALSE,0,No Card,"Very small hopper, played defense pushed balls over bump and made sure other robots don»t enter their zone"
BP,10,R1,6239,C,FALSE,3,FALSE,FALSE,4,4,0,1,7,No,FALSE,5,2,FALSE,TRUE,0,No Card,Bps is low and shooting is inaccurate
HR,10,R2,7886,F,FALSE,NA,FALSE,FALSE,0,5,0,0,0,No,FALSE,2,1,FALSE,FALSE,0,No Card,"No auto, only bulldozing"
AW,10,R3,2914,M,FALSE,NA,FALSE,FALSE,3,0,0,0,0,No,FALSE,NA,1,TRUE,FALSE,0,No Card,"Twitched a little bit at the beginning of teleop, but didn»t manage to really move away from their original spot. Couldn»t shoot or intake, the only balls they held were preloaded ones"
AD,10,B1,4638,C,FALSE,NA,FALSE,FALSE,0,3,6,0,0,No,FALSE,"1,3",3,FALSE,FALSE,0,No Card,"A stop, no shoot"
BS,10,B2,5353,F,FALSE,3,FALSE,FALSE,3,4,0,3,0,No,FALSE,1,4,FALSE,FALSE,0,No Card,Played a good game but teammates kinda sold
AZ,10,B3,1389,M,FALSE,NA,FALSE,FALSE,2,0,4,1,5,No,FALSE,NA,1,FALSE,FALSE,0,No Card,NA
BP,11,R1,11318,M,FALSE,NA,FALSE,FALSE,4,12,0,3,2,No,FALSE,"5,3",3,FALSE,TRUE,0,No Card,NA
HR,11,R2,116,F,FALSE,NA,FALSE,FALSE,5,0,9,3,0,L1,FALSE,6,3,FALSE,FALSE,0,No Card,NA
AW,11,R3,1727,C,FALSE,3,FALSE,FALSE,8,8,1,4,0,No,FALSE,6,4,TRUE,FALSE,0,No Card,"Died towards the very end of the match. Inaccurate auto, shot past the hub."
AD,11,B1,5587,C,FALSE,NA,FALSE,FALSE,3,0,0,1,4,No,FALSE,5,2,FALSE,FALSE,0,No Card,"Shooter seemed to be malfunctioning in the early match, collected but didn»t shoot more than 2"
BS,11,B2,449,F,FALSE,3,FALSE,FALSE,1,6,0,6,5,No,FALSE,1,5,FALSE,FALSE,0,No Card,Very good driving if we get out auto to work better we»d be insane
AZ,11,B3,11211,F,FALSE,NA,FALSE,FALSE,0,0,1,0,6,No,FALSE,NA,1,FALSE,FALSE,0,No Card,Didn»t do anything but move into neutral zone
BP,12,R1,5243,C,FALSE,NA,FALSE,TRUE,4,5,1,3,4,No,FALSE,5,3,FALSE,TRUE,0,No Card,"Seemed to be manually aligning even with turret, some inaccuracy"
HR,12,R2,5549,F,FALSE,NA,FALSE,FALSE,10,5,1,3,5,No,FALSE,"1,6,5",4,FALSE,FALSE,0,No Card,NA
AW,12,R3,4821,M,FALSE,NA,FALSE,FALSE,5,0,4,0,0,No,FALSE,4,4,FALSE,FALSE,0,No Card,"Couldn»t shoot, Played good defense the entire match, especially against 1731"
AD,12,B1,6882,M,FALSE,NA,FALSE,FALSE,5,2,8,0,7,No,FALSE,"3,1",3,FALSE,FALSE,0,No Card,NA
BS,12,B2,1731,F,FALSE,3,FALSE,FALSE,3,6,0,1,7,No,FALSE,1,4,FALSE,FALSE,0,No Card,They played good but they got heavily defended mid match which affected them a lot
SBS,12,B3,8590,C,FALSE,NA,FALSE,FALSE,0,5,0,0,0,No,FALSE,2,2,FALSE,FALSE,0,No Card,"No clue what they were even doing, seemed lost lwk"
BP,13,R1,5353,C,FALSE,3,FALSE,FALSE,7,8,0,3,6,No,FALSE,"6,5",3,FALSE,TRUE,0,No Card,The start of each volley is far too low
HR,13,R2,2900,F,FALSE,NA,FALSE,FALSE,5,11,0,1,3,No,FALSE,"5,2,6",2,FALSE,FALSE,0,No Card,NA
AW,13,R3,5841,NA,TRUE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,0,No Card,NA
AD,13,B1,6239,F,FALSE,NA,FALSE,FALSE,0,8,0,3,9,No,FALSE,"1,5",2,FALSE,FALSE,0,No Card,Had big stockpile but didn»t intake from stock
BS,13,B2,1446,NA,TRUE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,0,No Card,NA
SBS,13,B3,3373,C,FALSE,1,FALSE,FALSE,6,1,3,3,0,No,FALSE,"6,2",4,FALSE,FALSE,0,No Card,NA
BP,14,R1,449,C,FALSE,3,FALSE,FALSE,0,7,0,0,0,No,FALSE,3,2,FALSE,FALSE,0,No Card,Intake broke off
HR,14,R2,2421,M,FALSE,NA,FALSE,FALSE,0,3,0,1,1,No,FALSE,6,3,FALSE,FALSE,0,No Card,NA
AW,14,R3,7886,NA,TRUE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,0,No Card,NA
AD,14,B1,2186,F,FALSE,NA,FALSE,FALSE,2,10,0,2,3,L1,FALSE,"6,2",3,FALSE,FALSE,0,No Card,NA
