team,pRidge,opr,auto_opr,epa,drive,build_rtg,climb_score,driver_rtg,avg_crossings
449,133.9,149.37,29.47,85.68,Swerve,5,0,4.55,7.27
888,121.43,131.94,24.15,85.3,Swerve,2,0,4.4,7
1731,118,126.37,20.45,85.69,Swerve,5,0,4.5,4.1
5549,103.96,120.08,16.45,59.39,Swerve,5,0,4.1,5
5338,95.17,99.07,12.28,74.85,Swerve,5,0,4.18,6.82
2537,91.95,95.88,34.86,70.28,Swerve,4,0,4,6.27
1727,77.95,76.45,4.78,74.09,Swerve,4,0,3.5,6.7
4472,72.59,76.41,16.38,60.82,Swerve,3,0,3.8,4.8
5243,63.65,68.46,18.52,45.22,Mecanum,4,12.5,2.33,5
1389,57.93,64.3,6.55,36.03,Swerve,4,0,2.2,3.6
5353,48.64,52.16,8.85,42.37,Swerve,3,0,3.55,7.45
11318,42.22,49.98,7.21,23.74,Swerve,2,0,3.17,9.33
7886,9.26,2.2,7.68,21.63,Swerve,3,0,3.09,7.64
4456,42.66,46.16,8.66,31.87,Swerve,4,0,2.25,5.17
3373,46.27,44.75,5.93,44.71,Swerve,4,0,2.82,3.64
5587,42.24,44.78,9.84,21.23,Swerve,4,0,2.4,3.8
2186,30.15,30.88,9.08,24.14,Swerve,3,4.2,3,5.25
4821,19.35,13.35,6.93,26.14,Swerve,2,0,2.55,3.45
4638,23.51,17.39,10.2,30.13,Swerve,3,8.8,2.55,5.91
2421,20.86,21.18,2.79,12.42,Swerve,3,0,2.6,7.3
6239,39.59,39.58,8.9,31.84,Swerve,4,0,2.64,6.09
6882,44.78,45.66,13.93,29.14,Tank,3,0,2.91,5.45
2900,30.85,33.32,11.77,13.03,Mecanum,3,0,2,7.8
2988,12.85,3.72,4.59,21.19,Tank,4,0,2.18,5.73
116,36.3,42.82,12.21,14.95,Swerve,3,5.5,2.55,5.64
2914,33.42,33.93,5.36,30.32,Swerve,2,0,1.6,0.6
8590,25.18,22.6,3.9,22.37,Swerve,5,0,2.55,4.27
