"team","match_key","auto_fuel_pre_epa","tele_fuel_pre_epa","auto_fuel_recent_epa","tele_fuel_recent_epa"
116,"2026mdbet_qm2",2.98,12.54,NA,NA
449,"2026mdbet_qm4",10.38,73.11,NA,NA
888,"2026mdbet_qm1",19.09,66.21,NA,NA
1389,"2026mdbet_qm1",7.58,27.68,NA,NA
1446,"2026mdbet_qm1",4.75,17.34,NA,NA
1727,"2026mdbet_qm4",15.59,56.91,NA,NA
1731,"2026mdbet_qm4",15.92,68.56,NA,NA
2186,"2026mdbet_qm2",6.13,16.96,NA,NA
2421,"2026mdbet_qm2",6.89,4.92,NA,NA
2537,"2026mdbet_qm3",16.46,53.72,NA,NA
2900,"2026mdbet_qm3",6.99,6.25,NA,NA
2912,"2026mdbet_qm6",0,0,NA,NA
2914,"2026mdbet_qm5",6.38,23.28,NA,NA
2988,"2026mdbet_qm5",5.48,15.96,NA,NA
3373,"2026mdbet_qm2",3.97,38.89,NA,NA
3714,"2026mdbet_qm3",5.39,19.69,NA,NA
4456,"2026mdbet_qm4",6.71,24.47,NA,NA
4464,"2026mdbet_qm2",1.99,16.85,NA,NA
4472,"2026mdbet_qm3",9.14,50.95,NA,NA
4638,"2026mdbet_qm4",3.48,19.73,NA,NA
4821,"2026mdbet_qm2",5.9,20.36,NA,NA
5243,"2026mdbet_qm3",6.09,35.01,NA,NA
5338,"2026mdbet_qm5",16.64,58.44,NA,NA
5353,"2026mdbet_qm5",11.07,31.82,NA,NA
5549,"2026mdbet_qm3",11.82,46.49,NA,NA
5587,"2026mdbet_qm5",5.98,15.82,NA,NA
5841,"2026mdbet_qm4",3.3,6.2,NA,NA
6239,"2026mdbet_qm6",8.01,24.02,NA,NA
6882,"2026mdbet_qm1",5.94,23.24,NA,NA
7886,"2026mdbet_qm1",3.87,17.9,NA,NA
8590,"2026mdbet_qm5",9.05,13.59,NA,NA
11211,"2026mdbet_qm6",5,18.23,NA,NA
11318,"2026mdbet_qm1",5,18.23,NA,NA
