"match","blue_auto_fuel","blue_tele_fuel","red_auto_fuel","red_tele_fuel"
1,48,172,10,9
2,11,21,24,86
3,32,95,37,182
4,39,157,24,178
5,16,137,24,51
6,33,82,15,32
7,36,86,64,257
8,17,31,22,60
9,32,191,21,21
10,18,82,17,27
11,12,211,20,109
12,33,75,33,121
13,25,78,19,62
14,42,107,16,14
15,31,189,22,82
16,8,41,4,3
17,59,37,22,95
18,46,180,53,143
19,6,66,22,58
20,45,176,21,51
21,46,236,11,31
22,21,89,20,10
23,19,169,13,37
24,22,103,53,147
25,32,82,34,30
26,15,6,16,90
27,103,226,26,154
28,43,141,14,188
29,19,181,26,29
30,34,124,31,117
31,42,180,10,87
32,16,33,30,228
33,28,48,13,54
34,44,218,27,29
35,37,106,31,191
36,20,50,22,32
37,19,61,34,95
38,11,29,45,136
39,16,31,66,155
40,24,123,17,70
41,36,216,10,32
42,30,77,28,149
43,64,214,65,142
44,38,130,56,36
45,25,52,16,68
46,23,20,36,170
47,12,46,19,120
48,60,304,19,72
49,53,160,35,194
50,30,147,35,108
51,20,51,15,160
52,18,80,34,158
53,28,171,76,302
54,31,129,7,40
55,31,89,25,94
56,34,123,43,187
57,58,244,28,137
58,16,59,24,48
59,21,38,23,188
60,27,151,74,198
61,23,66,28,36
62,35,134,34,130
63,26,55,50,221
64,20,144,20,58
65,20,63,47,81
66,40,154,20,96
